,AMZN,GOOGL,NVDA,BRK-B,UNH,MSFT,JPM,XOM,META,AAPL
2025-12-15,100.79824031407574,99.35694993434578,102.27394183830145,99.15106406753121,101.1644271504456,100.53756568105217,99.33346987535016,100.5938497459587,99.7208824276972,100.19580777757096
2025-12-16,100.63971225188821,98.71461143050534,101.97913902602261,101.99550662035313,101.47553235760434,100.00850289494335,99.1067634524483,102.99306630821086,100.30663017704326,101.71309177150825
2025-12-17,101.673048879936,99.12308972213053,102.13354238889963,102.02585904486756,101.3503153785869,99.04768306669574,97.52440585684933,102.98921540903491,102.60638952957703,100.69792841623881
2025-12-18,104.07457502125035,96.36694076679302,100.02398160549157,100.47014686641529,100.944052653187,100.01063453169633,95.83802853704145,105.48765510199117,101.86273316290644,100.25433383024665
2025-12-19,103.76154282454269,93.95250956473694,99.26015507050147,101.768315287371,98.77935242693732,101.62011709909471,97.06175749666679,101.47350767212913,100.68519314084341,99.71625204705113
2025-12-22,103.4494776322697,93.21001045784551,99.47517059544528,99.97160105434101,97.76737537388533,103.10116805250398,99.10610576165057,102.78365001473495,99.98022275145226,97.59984926093436
2025-12-23,105.98224148758635,91.85053693862208,97.82138049419355,100.33545380473785,97.14273139884824,101.86235665718382,99.04862584880296,102.96941473845665,101.4132167848058,98.08336233107747
2025-12-24,107.26292548381875,92.33066954903015,98.42340563160955,97.47774136667779,98.74474508968834,101.4417022890621,100.60117054240214,102.55988681656687,101.96551749501653,98.51743939469009
2025-12-25,106.56348939598253,91.12717025810852,97.5894172314616,95.60271961728358,99.30465642281534,101.9980018370883,101.19895529053464,102.75251204840656,101.20906108891828,98.5742709700727
2025-12-26,107.48801497447921,89.26160594462749,97.2119504852086,95.93339859537632,96.76127475897943,103.55329421866865,100.2745212490679,99.78419135543601,102.04228648896488,98.27714298245984
