date,wave,portfolio_return,benchmark_return,vix_level,vix_regime,exposure_used,overlay_active
2024-02-27,AI & Cloud MegaCap Wave,0.0,0.0,20.0,neutral,0.95,True
2024-02-28,AI & Cloud MegaCap Wave,-0.00555903341857955,-0.007025738165678602,20.0,neutral,0.95,True
2024-02-29,AI & Cloud MegaCap Wave,0.018810415223602342,0.012486939053283666,20.0,neutral,0.95,True
2024-03-01,AI & Cloud MegaCap Wave,0.02240443116976789,0.022548425414789866,20.0,neutral,0.95,True
2024-03-02,AI & Cloud MegaCap Wave,0.0,0.0,20.0,neutral,0.95,True
2024-03-03,AI & Cloud MegaCap Wave,0.0,0.0,20.0,neutral,0.95,True
2024-03-04,AI & Cloud MegaCap Wave,0.004621023416297132,0.002215733822501143,20.0,neutral,0.95,True
2024-03-05,AI & Cloud MegaCap Wave,-0.018290454472748262,-0.01717214236687897,20.0,neutral,0.95,True
2024-03-06,AI & Cloud MegaCap Wave,0.010081145701786837,0.012019818092502986,20.0,neutral,0.95,True
2024-03-07,AI & Cloud MegaCap Wave,0.02046785190860769,0.020875104828556767,20.0,neutral,0.95,True
2024-03-08,AI & Cloud MegaCap Wave,-0.019235909420948154,-0.021719436766852993,20.0,neutral,0.95,True
2024-03-09,AI & Cloud MegaCap Wave,0.0,0.0,20.0,neutral,0.95,True
2024-03-10,AI & Cloud MegaCap Wave,0.0,0.0,20.0,neutral,0.95,True
2024-03-11,AI & Cloud MegaCap Wave,-0.005842448270348273,-0.007862842604873447,20.0,neutral,0.95,True
2024-03-12,AI & Cloud MegaCap Wave,0.026697057851448856,0.019422404053633727,20.0,neutral,0.95,True
2024-03-13,AI & Cloud MegaCap Wave,-0.011441310662684142,-0.011244076594924983,20.0,neutral,0.95,True
2024-03-14,AI & Cloud MegaCap Wave,-0.0043767867627041756,-0.007044558066743652,20.0,neutral,0.95,True
2024-03-15,AI & Cloud MegaCap Wave,-0.01640293399036978,-0.010561784584381168,20.0,neutral,0.95,True
2024-03-16,AI & Cloud MegaCap Wave,0.0,0.0,20.0,neutral,0.95,True
2024-03-17,AI & Cloud MegaCap Wave,0.0,0.0,20.0,neutral,0.95,True
2024-03-18,AI & Cloud MegaCap Wave,0.012273821852233571,0.007326309861386219,20.0,neutral,0.9353109185929589,True
2024-03-19,AI & Cloud MegaCap Wave,-0.0010805621448216059,0.0011119414718487224,20.0,neutral,0.9191482375033322,True
2024-03-20,AI & Cloud MegaCap Wave,0.007475476692551204,0.013082295373779931,20.0,neutral,0.9254540639613098,True
2024-03-21,AI & Cloud MegaCap Wave,0.006070988758596825,0.010012514593333632,20.0,neutral,0.9637422269475685,True
2024-03-22,AI & Cloud MegaCap Wave,0.004838931355962484,0.002535936703512043,20.0,neutral,1.0396039192727133,True
2024-03-23,AI & Cloud MegaCap Wave,0.0,0.0,20.0,neutral,1.0363032843370692,True
2024-03-24,AI & Cloud MegaCap Wave,0.0,0.0,20.0,neutral,1.0363032843370692,True
2024-03-25,AI & Cloud MegaCap Wave,-0.003822264012637692,-0.003285318001521353,20.0,neutral,1.039247438575096,True
2024-03-26,AI & Cloud MegaCap Wave,-0.006240766615305534,-0.005018338222321326,20.0,neutral,1.114623228306135,True
2024-03-27,AI & Cloud MegaCap Wave,-0.003060530736390164,0.00229964748207327,20.0,neutral,1.1229443198991613,True
2024-03-28,AI & Cloud MegaCap Wave,0.0004670047557428568,-0.0011703625055786116,20.0,neutral,1.2349999999999999,True
2024-03-29,AI & Cloud MegaCap Wave,0.0,0.0,20.0,neutral,1.2349999999999999,True
2024-03-30,AI & Cloud MegaCap Wave,0.0,0.0,20.0,neutral,1.2349999999999999,True
2024-03-31,AI & Cloud MegaCap Wave,0.0,0.0,20.0,neutral,1.2349999999999999,True
2024-04-01,AI & Cloud MegaCap Wave,0.009757279640190845,0.0053507945916191485,20.0,neutral,1.2349999999999999,True
2024-04-02,AI & Cloud MegaCap Wave,-0.0075831530338681535,-0.009872567318625724,20.0,neutral,1.2349999999999999,True
2024-04-03,AI & Cloud MegaCap Wave,-0.0015620303145856323,0.002760609561934684,20.0,neutral,1.2349999999999999,True
2024-04-04,AI & Cloud MegaCap Wave,-0.028281303137573686,-0.018631017495653067,20.0,neutral,1.2349999999999999,True
2024-04-05,AI & Cloud MegaCap Wave,0.01577474774075314,0.011996458181146828,20.0,neutral,1.2349999999999999,True
2024-04-06,AI & Cloud MegaCap Wave,0.0,0.0,20.0,neutral,1.2349999999999999,True
2024-04-07,AI & Cloud MegaCap Wave,0.0,0.0,20.0,neutral,1.2349999999999999,True
2024-04-08,AI & Cloud MegaCap Wave,-0.004341864493877088,0.0007631365031275111,20.0,neutral,1.2349999999999999,True
2024-04-09,AI & Cloud MegaCap Wave,0.0004936809197887182,0.00398266817420822,20.0,neutral,1.2349999999999999,True
2024-04-10,AI & Cloud MegaCap Wave,-0.005861693345583007,-0.008720442300978388,20.0,neutral,1.2349999999999999,True
2024-04-11,AI & Cloud MegaCap Wave,0.01932346223371442,0.018103262989881044,20.0,neutral,1.2349999999999999,True
2024-04-12,AI & Cloud MegaCap Wave,-0.025768496149596108,-0.019831656914671605,20.0,neutral,1.2349999999999999,True
2024-04-13,AI & Cloud MegaCap Wave,0.0,0.0,20.0,neutral,1.1222231805227945,True
2024-04-14,AI & Cloud MegaCap Wave,0.0,0.0,20.0,neutral,1.1222231805227945,True
2024-04-15,AI & Cloud MegaCap Wave,-0.017941309816457165,-0.01603729722271901,20.0,neutral,1.06606078289315,True
2024-04-16,AI & Cloud MegaCap Wave,0.007276414301568058,0.0025011122700964437,20.0,neutral,1.01534977696733,True
2024-04-17,AI & Cloud MegaCap Wave,-0.016170294929580487,-0.017684786733364828,20.0,neutral,0.9979050527268014,True
2024-04-18,AI & Cloud MegaCap Wave,-0.004451075508979772,-0.009248385091407463,20.0,neutral,1.0151156219061805,True
2024-04-19,AI & Cloud MegaCap Wave,-0.031542573323476576,-0.027884068836390614,20.0,neutral,1.0161409204328344,True
2024-04-20,AI & Cloud MegaCap Wave,0.0,0.0,20.0,neutral,0.9005508974165546,True
2024-04-21,AI & Cloud MegaCap Wave,0.0,0.0,20.0,neutral,0.9005508974165546,True
2024-04-22,AI & Cloud MegaCap Wave,0.0098316848299357,0.01272400374799339,20.0,neutral,0.8793214239062903,True
2024-04-23,AI & Cloud MegaCap Wave,0.012938007876874904,0.01745862315762993,20.0,neutral,0.8542413213542116,True
2024-04-24,AI & Cloud MegaCap Wave,-0.0021707178652072795,0.0027309491405830477,20.0,neutral,0.8662040223708142,True
