date,ticker,close
2024-08-08,AAPL,135.23
2024-08-09,AAPL,135.94
2024-08-10,AAPL,136.58
2024-08-11,AAPL,138.72
2024-08-12,AAPL,137.58
2024-08-13,AAPL,136.57
2024-08-14,AAPL,135.46
2024-08-15,AAPL,133.65
2024-08-16,AAPL,128.48
2024-08-17,AAPL,130.38
2024-08-18,AAPL,132.04
2024-08-19,AAPL,129.09
2024-08-20,AAPL,128.32
2024-08-21,AAPL,126.96
2024-08-22,AAPL,125.68
2024-08-23,AAPL,121.71
2024-08-24,AAPL,120.62
2024-08-25,AAPL,121.77
2024-08-26,AAPL,126.5
2024-08-27,AAPL,127.31
2024-08-28,AAPL,127.61
2024-08-29,AAPL,126.69
2024-08-30,AAPL,125.61
2024-08-31,AAPL,127.46
2024-09-01,AAPL,128.08
2024-09-02,AAPL,126.92
2024-09-03,AAPL,125.04
2024-09-04,AAPL,124.8
2024-09-05,AAPL,123.86
2024-09-06,AAPL,123.91
2024-09-07,AAPL,123.55
2024-09-08,AAPL,124.33
2024-09-09,AAPL,122.04
2024-09-10,AAPL,124.1
2024-09-11,AAPL,129.33
2024-09-12,AAPL,131.71
2024-09-13,AAPL,132.21
2024-09-14,AAPL,134.02
2024-09-15,AAPL,132.06
2024-09-16,AAPL,128.99
2024-09-17,AAPL,130.55
2024-09-18,AAPL,129.56
2024-09-19,AAPL,127.01
2024-09-20,AAPL,125.4
2024-09-21,AAPL,123.33
2024-09-22,AAPL,123.64
2024-09-23,AAPL,124.78
2024-09-24,AAPL,126.51
2024-09-25,AAPL,128.27
2024-09-26,AAPL,129.79
2024-09-27,AAPL,129.45
2024-09-28,AAPL,128.3
2024-09-29,AAPL,125.46
2024-09-30,AAPL,127.6
2024-10-01,AAPL,127.32
2024-10-02,AAPL,126.6
2024-10-03,AAPL,128.9
2024-10-04,AAPL,127.23
2024-10-05,AAPL,128.89
2024-10-06,AAPL,129.52
2024-10-07,AAPL,127.57
2024-10-08,AAPL,127.49
2024-10-09,AAPL,129.42
2024-10-10,AAPL,131.03
2024-10-11,AAPL,134.03
2024-10-12,AAPL,134.78
2024-10-13,AAPL,141.66
2024-10-14,AAPL,139.78
2024-10-15,AAPL,139.01
2024-10-16,AAPL,138.95
2024-10-17,AAPL,136.07
2024-10-18,AAPL,138.26
2024-10-19,AAPL,140.2
2024-10-20,AAPL,140.31
2024-10-21,AAPL,139.26
2024-10-22,AAPL,136.21
2024-10-23,AAPL,134.66
2024-10-24,AAPL,136.23
2024-10-25,AAPL,135.87
2024-10-26,AAPL,135.06
2024-10-27,AAPL,136.15
2024-10-28,AAPL,138.58
2024-10-29,AAPL,139.18
2024-10-30,AAPL,139.91
2024-10-31,AAPL,142.86
2024-11-01,AAPL,143.31
2024-11-02,AAPL,142.71
2024-11-03,AAPL,144.23
2024-11-04,AAPL,143.74
2024-11-05,AAPL,143.02
2024-11-06,AAPL,145.83
2024-11-07,AAPL,145.26
2024-11-08,AAPL,139.55
2024-11-09,AAPL,140.34
2024-11-10,AAPL,139.58
2024-11-11,AAPL,139.04
2024-11-12,AAPL,140.06
2024-11-13,AAPL,139.78
2024-11-14,AAPL,140.3
2024-11-15,AAPL,136.11
2024-11-16,AAPL,134.26
2024-11-17,AAPL,137.15
2024-11-18,AAPL,137.18
2024-11-19,AAPL,133.81
2024-11-20,AAPL,131.72
2024-11-21,AAPL,129.82
2024-11-22,AAPL,130.09
2024-11-23,AAPL,129.31
2024-11-24,AAPL,128.1
2024-11-25,AAPL,128.17
2024-11-26,AAPL,129.15
2024-11-27,AAPL,128.71
2024-11-28,AAPL,127.67
2024-11-29,AAPL,126.92
2024-11-30,AAPL,127.63
2024-12-01,AAPL,127.68
2024-12-02,AAPL,129.22
2024-12-03,AAPL,127.05
2024-12-04,AAPL,125.64
2024-12-05,AAPL,127.16
2024-12-06,AAPL,125.69
2024-12-07,AAPL,128.37
2024-12-08,AAPL,131.14
2024-12-09,AAPL,133.94
2024-12-10,AAPL,132.24
2024-12-11,AAPL,132.46
2024-12-12,AAPL,131.54
2024-12-13,AAPL,133.43
2024-12-14,AAPL,136.91
2024-12-15,AAPL,138.77
