date,symbol,close
2025-08-20,SPY,452.4602136885506
2025-08-21,SPY,452.06085284286075
2025-08-22,SPY,455.21482959838556
2025-08-23,SPY,462.375494778765
2025-08-24,SPY,461.5240147012362
2025-08-25,SPY,460.67417842497565
2025-08-26,SPY,468.1795411776087
2025-08-27,SPY,472.0066033419832
2025-08-28,SPY,470.026656541042
2025-08-29,SPY,472.81184670190726
2025-08-30,SPY,470.8571588739282
2025-08-31,SPY,468.8996655676737
2025-09-01,SPY,470.2686756826306
2025-09-02,SPY,461.5062523518223
2025-09-03,SPY,453.776401833019
2025-09-04,SPY,451.45176191579003
2025-09-05,SPY,447.1050438587667
2025-09-06,SPY,448.7336120549212
2025-09-07,SPY,444.883369628534
2025-09-08,SPY,438.8227070174593
2025-09-09,SPY,445.47371797411773
2025-09-10,SPY,444.690680753023
2025-09-11,SPY,445.21331772652655
2025-09-12,SPY,439.09275571630036
2025-09-13,SPY,436.92195698739744
2025-09-14,SPY,437.6250631155925
2025-09-15,SPY,432.80683927749953
2025-09-16,SPY,434.6492894155684
2025-09-17,SPY,432.2559422625891
2025-09-18,SPY,431.21120666703035
2025-09-19,SPY,428.8321859271742
2025-09-20,SPY,436.9897670482196
2025-09-21,SPY,437.1492804408034
2025-09-22,SPY,432.74407936594935
2025-09-23,SPY,436.51996581288466
2025-09-24,SPY,431.4089995123088
2025-09-25,SPY,432.5257603576204
2025-09-26,SPY,424.2659451339871
2025-09-27,SPY,418.84303701305737
2025-09-28,SPY,419.87699811057956
2025-09-29,SPY,423.1875879177694
2025-09-30,SPY,424.12439100735224
2025-10-01,SPY,423.84596062946633
2025-10-02,SPY,422.7816677587198
2025-10-03,SPY,416.7421386635443
2025-10-04,SPY,413.9506155837663
2025-10-05,SPY,412.25077386355264
2025-10-06,SPY,416.8148938087555
2025-10-07,SPY,418.4555534644321
2025-10-08,SPY,411.287241801241
2025-10-09,SPY,412.82580144098546
2025-10-10,SPY,411.44249533137
2025-10-11,SPY,408.86307180952986
2025-10-12,SPY,411.5684218095199
2025-10-13,SPY,416.0174744840249
2025-10-14,SPY,420.09977125318596
2025-10-15,SPY,416.7842702434376
2025-10-16,SPY,415.70391383436544
2025-10-17,SPY,417.2888408407293
2025-10-18,SPY,421.5683262139968
2025-10-19,SPY,419.7590635629707
2025-10-20,SPY,419.18962271288757
2025-10-21,SPY,414.7615761207674
2025-10-22,SPY,410.00755146112976
2025-10-23,SPY,413.54397246624814
2025-10-24,SPY,419.3593933428104
2025-10-25,SPY,419.2670918304771
2025-10-26,SPY,423.6842085729464
2025-10-27,SPY,425.4282454078706
2025-10-28,SPY,422.8964378777784
2025-10-29,SPY,424.63621523905925
2025-10-30,SPY,431.3795936115127
2025-10-31,SPY,431.44073718639885
2025-11-01,SPY,438.40696767797624
2025-11-02,SPY,427.14102609008313
2025-11-03,SPY,430.86527939377663
2025-11-04,SPY,431.455767627242
2025-11-05,SPY,430.3814110518412
2025-11-06,SPY,430.9915230822127
2025-11-07,SPY,422.6407653064068
2025-11-08,SPY,421.92366274114056
2025-11-09,SPY,423.6413670143425
2025-11-10,SPY,430.1141582320162
2025-11-11,SPY,428.1000617244373
2025-11-12,SPY,424.8529501422757
2025-11-13,SPY,422.93364701513127
2025-11-14,SPY,427.01665739988994
2025-11-15,SPY,428.6339877282237
2025-11-16,SPY,426.57757243528397
2025-11-17,SPY,428.9803449777774
2025-11-18,SPY,429.6112787563555
2025-11-19,SPY,433.98749252617137
2025-11-20,SPY,431.1576636541137
2025-11-21,SPY,429.96050202999095
2025-11-22,SPY,428.4895720972984
2025-11-23,SPY,422.4328079445157
2025-11-24,SPY,423.8949335497849
2025-11-25,SPY,425.213481089095
2025-11-26,SPY,425.44783093663295
2025-11-27,SPY,424.6625089815003
2025-11-28,SPY,418.86429133140973
2025-11-29,SPY,417.31179042685557
2025-11-30,SPY,416.0902582370984
2025-12-01,SPY,412.96010580493515
2025-12-02,SPY,412.5005402122934
2025-12-03,SPY,414.3735024494919
2025-12-04,SPY,422.3965437822713
2025-12-05,SPY,423.34515270177485
2025-12-06,SPY,424.64715237301505
2025-12-07,SPY,424.5433434878425
2025-12-08,SPY,416.6095996882736
2025-12-09,SPY,416.7074451377469
2025-12-10,SPY,417.16678262936216
2025-12-11,SPY,427.6511938897033
2025-12-12,SPY,427.04238552418394
2025-12-13,SPY,428.5436416811322
2025-12-14,SPY,428.60915841998593
2025-12-15,SPY,423.8144018975156
2025-12-16,SPY,428.86975677454956
2025-12-17,SPY,432.30900502132806
2025-12-18,SPY,435.94486186350133
2025-12-19,SPY,432.19840641082413
2025-12-20,SPY,438.47736027111705
2025-12-21,SPY,432.5497994161884
2025-12-22,SPY,435.3045234979893
2025-12-23,SPY,445.05732818410536
2025-12-24,SPY,440.8714023448777
2025-12-25,SPY,438.5951933041032
2025-12-26,SPY,439.2515569980916
2025-12-27,SPY,437.2596581267789
2025-12-28,SPY,430.69786233846554
2025-12-29,SPY,431.20851053648005
2025-12-30,SPY,426.84337077041624
2025-12-31,SPY,429.0782903504382
2026-01-01,SPY,425.34777971029536
2026-01-02,SPY,432.1530651788586
2026-01-03,SPY,428.9842886005027
2026-01-04,SPY,427.817187440652
2026-01-05,SPY,431.51146251306875
2026-01-06,SPY,426.41589763092963
2026-01-07,SPY,427.599030901638
2026-01-08,SPY,433.40216016690147
2026-01-09,SPY,426.65199418407576
2026-01-10,SPY,427.6530642205349
2026-01-11,SPY,428.97828748563046
2026-01-12,SPY,432.5466269958946
2026-01-13,SPY,427.41251173188766
2026-01-14,SPY,421.9824212114403
2026-01-15,SPY,424.3959140779451
2026-01-16,SPY,425.8685028536234
2026-01-17,SPY,427.1482072565736
2026-01-18,SPY,428.8416286761407
2026-01-19,SPY,426.1398203990612
2026-01-20,SPY,427.3426157972128
2026-01-21,SPY,428.80871067868753
2026-01-22,SPY,425.9599139286731
2026-01-23,SPY,434.1203453874127
2026-01-24,SPY,436.3944106729279
2026-01-25,SPY,431.4138260023209
2026-01-26,SPY,434.46199595808554
2026-01-27,SPY,430.44460551735733
2026-01-28,SPY,434.0477910377831
2026-01-29,SPY,439.2936734510451
2026-01-30,SPY,435.9081147841202
2026-01-31,SPY,440.3255035647814
2026-02-01,SPY,442.3632460117163
2026-02-02,SPY,446.22091964264285
2026-02-03,SPY,454.9079171933797
2026-02-04,SPY,454.01908118442765
2026-02-05,SPY,450.8239847170492
2026-02-06,SPY,447.03925231313684
2026-02-07,SPY,443.61577974109025
2026-02-08,SPY,443.49555228154975
2026-02-09,SPY,445.23029389252304
2026-02-10,SPY,446.68482029849986
2026-02-11,SPY,450.603064718145
2026-02-12,SPY,450.8869531737773
2026-02-13,SPY,457.66619216420133
2026-02-14,SPY,456.68378040930094
2026-02-15,SPY,469.3346936830152
2025-08-20,VIX,18.250266939106
2025-08-21,VIX,17.90740391653949
2025-08-22,VIX,17.479046917315046
2025-08-23,VIX,17.67203588341232
2025-08-24,VIX,17.58265076928198
2025-08-25,VIX,17.868250966918815
2025-08-26,VIX,18.057546016748233
2025-08-27,VIX,18.028414451685485
2025-08-28,VIX,17.689696964458122
2025-08-29,VIX,17.083758074583777
2025-08-30,VIX,16.905152093756968
2025-08-31,VIX,17.247711611486356
2025-09-01,VIX,17.33334910913844
2025-09-02,VIX,16.835053597653644
2025-09-03,VIX,16.90432596799412
2025-09-04,VIX,17.058452919885653
2025-09-05,VIX,16.7049099454052
2025-09-06,VIX,16.76639998778341
2025-09-07,VIX,16.78968347516181
2025-09-08,VIX,16.33249535602956
2025-09-09,VIX,16.475610300168874
2025-09-10,VIX,16.699924110716168
2025-09-11,VIX,17.133144607986278
2025-09-12,VIX,17.554665428800238
2025-09-13,VIX,17.0035976816174
2025-09-14,VIX,16.62846766565135
2025-09-15,VIX,16.834481772534815
2025-09-16,VIX,17.039996152899697
2025-09-17,VIX,17.246015227422117
2025-09-18,VIX,18.787107823684003
2025-09-19,VIX,19.01546402796127
2025-09-20,VIX,19.469690284033508
2025-09-21,VIX,19.85129098943079
2025-09-22,VIX,20.11184748995311
2025-09-23,VIX,19.98573979209697
2025-09-24,VIX,20.28932748029428
2025-09-25,VIX,19.98019739447925
2025-09-26,VIX,19.885469951783247
2025-09-27,VIX,19.691324532651606
2025-09-28,VIX,19.724074188406135
2025-09-29,VIX,20.649937615075537
2025-09-30,VIX,19.90303153803884
2025-10-01,VIX,20.177535614188645
2025-10-02,VIX,19.532449265712785
2025-10-03,VIX,19.34367651939701
2025-10-04,VIX,19.77925675818396
2025-10-05,VIX,19.804968765822142
2025-10-06,VIX,19.37387085465042
2025-10-07,VIX,19.087749370946433
2025-10-08,VIX,19.359588470520304
